"Year","abundance_all_ages"
1982,6889.800400000002
1983,8270.0643
1984,10943.176399999993
1985,6157.868900000001
1986,8363.371699999998
1987,10817.352400000009
1988,5298.783900000003
1989,5784.607599999994
1990,5127.749699999995
1991,5461.0663
1992,5199.2387
1993,7050.351299999998
1994,4405.7649
1995,11067.048699999998
1996,6845.726999999997
1997,11277.306999999997
1998,11913.348900000006
1999,6405.665399999997
2000,5693.343100000001
2001,3745.1427000000026
2002,4680.5568
2003,1918.589400000001
2004,4057.0625000000014
2005,2461.292800000001
2006,3104.2367000000017
2007,3469.9644999999996
2008,2173.6848
2009,1748.4484
2010,2417.8122999999987
2011,2599.636999999999
2012,3019.2862000000027
2013,2703.4462999999987
2014,2883.2439
2015,3946.0108000000037
2016,3084.518000000001
2017,3953.8895999999954
2018,2446.9674
2019,1155.0462
2020,1758.4650999999992
2021,2478.947900000001
